arise arose arisen | [ə'raiz][ə'rəuz][ə'riz(ə)n] | Возникать, появляться |
awake awoke awoken | [ə'weik][ə'wəuk][ə'wəukən] | Будить |
be was,were been | [bi:][wɔz][wз:][bi:n] | Быть |
bear bore born | [bɛə][bɔ:][bɔ:n] | Носить на себе |
beat beat beaten | [bi:t][bi:t]['bi:tn] | Бить |
become became become | [bi:kʌm][bi:keim][bi:kʌm] | Становиться |
begin began begun | [bi'gin][bi'gæn][bi'gʌn] | Начинать |
bend bent bent | [bend][bent][bent] | Сгибать; гнуть |
bet bet bet | [bet][bet][bet] | Держать пари |
bind bound bound | [baind][baund][baund] | Вязать; связывать |
bite bit bitten | [bait][bit]['bitn] | Кусать, жалить |
bleed bled bled | [bli:d][bled][bled] | Кровоточить |
blow blew blown | [blou][blu:][bloun] | Дуть |
break broke broken | [breik][brouk]['brouk(e)n] | Ломать |
breed bred bred | [bri:d][bred][bred] | Воспитывать, вынашивать |
bring brought brought | [briŋ][brɔ:t][brɔ:t] | Приносить |
broadcast broadcast broadcast | ['brɔ:dka:st]['brɔ:dka:st]['brɔ:dka:st] | Вещать, транслировать |
browbeat browbeaten browbeaten | ['braubi:t]['braubi:tn]['braubi:tn] | Запугивать, пугать |
build built built | [bild][bilt][bilt] | Строить |
burn burnt burnt | [bз:n][bз:nt][bз:nt] | Гореть |
